"","gene","PMID36300619_CellMarkv2","GeneID"
"17118","MTRNR2L8","H.FetalGonad.Normal.GranulosaCell.28457750",NA
"17119","MTRNR2L8","H.Kidney.RenalCellCarcinoma.BCell.30093597",NA
"17120","MTRNR2L8","H.FetalGonad.Normal.RetinoidAcidSignaling.ResponsiveFetalGermCell.28457750",NA
"17121","MTRNR2L8","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"17122","MTRNR2L8","H.FetalGonad.Normal.SertoliCell.28457750",NA
"17123","MTRNR2L9","H.FetalGonad.Normal.SertoliCell.28457750",NA
"17246","MYCNOS","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"17257","MYH family","H.Heart.Normal.Cardiomyocyte.Company",NA
"17861","NF-kappa-B family","H.Undefined.Normal.GerminalCenterBCell.Company",NA
"17889","NFE4","H.Kidney.RenalCellCarcinoma.Neutrophil.30093597",NA
"17890","NFE4","H.Kidney.Normal.Neutrophil.30093597",NA
"18957","P49715","H.Undefined.Normal.Basophil.Company",NA
"18958","P49715","H.Liver.Normal.Hepatocyte.27909741",NA
"19103","PART1","H.LargeIntestine.Normal.Prom1lowProgenitorCell.29802404",NA
"19110","Patched family","H.Prostate.ProstateCancer.CancerStemCell.25940879",NA
"20959","PRORY","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"23050","S100 family","H.Undefined.Normal.GlialCell.Company",NA
"23051","S100 family","H.SalivaryGland.Normal.MyoepithelialCell.20840670",NA
"24867","Solute carrier family 30","H.Pancreas.Normal.EndocrineCell.21947380",NA
"25371","ST20","H.SmallIntestine.Normal.EnterocyteProgenitorCell.29802404",NA
"25372","ST20","H.Kidney.RenalCellCarcinoma.Neutrophil.30093597",NA
"26322","TGF-beta family","H.Undefined.Normal.THelper17Th17Cell.Company",NA
"26323","TGF-beta family","H.Undefined.Normal.RegulatoryTTregCell.Company",NA
"26324","TGF-beta family","H.Undefined.Normal.Neuron.Company",NA
"26325","TGF-beta family","H.Undefined.Normal.THelper17Th17Cell.Company",NA
"26326","TGF-beta family","H.Undefined.Normal.THelper9Th9Cell.Company",NA
"26327","TGF-beta family","H.Undefined.Normal.RegulatoryTTregCell.Company",NA
"27002","TMEM99","H.FetalKidney.Normal.NaturalKillerTNktCell.30093597",NA
"27003","TMEM99","H.FetalGonad.Normal.MitoticArrestPhaseFetalGermCell.28457750",NA
"27448","TRA-1-81","H.Undefined.Normal.InducedPluripotentStemCell.Company",NA
"27536","TRBC2","H.Kidney.RenalCellCarcinoma.Cd8.TCell.30093597",NA
"27537","TRBC2","H.Kidney.RenalCellCarcinoma.RegulatoryTTregCell.30093597",NA
"27538","TRBC2","H.Kidney.RenalCellCarcinoma.THelperCell.30093597",NA
"27556","TRGC2","H.Kidney.RenalCellCarcinoma.NaturalKillerTNktCell.30093597",NA
"27953","TUBB7P","H.Embryo.Normal.4.CellStageCellBlastomere.23892778",NA
"28030","TYMSOS","H.UmbilicalCordBlood.Normal.Granulocyte.MonocyteProgenitor.29167569",NA
"28117","UBE2Q2L","H.FetalGonad.Normal.OogenesisPhaseFetalGermCell.28457750",NA
"28590","VNN3","H.FetalKidney.Normal.Monocyte.30093597",NA
"28591","VNN3","H.Lung.Normal.Slc16a7.Cell.30069046",NA
"29331","ZNF286B","H.Liver.Normal.EndothelialCell.28614297",NA
