"GeneID","gene"
133,"PAMP"
134,"RDC7"
135,"A2aR"
135,"ADORA2"
135,"RDC8"
136,"ADORA2"
140,"A3AR"
141,"ARH1"
141,"hARH1"
142,"ADPRT"
142,"ADPRT 1"
142,"ADPRT1"
142,"ARTD1"
142,"PARP"
142,"PARP-1"
142,"PARS"
142,"PPOL"
142,"Poly-PARP"
142,"pADPRT-1"
143,"ADPRTL1"
143,"ARTD4"
143,"PARP-4"
143,"PARPL"
143,"PH5P"
143,"VAULT3"
143,"VPARP"
143,"VWA5C"
143,"p193"
146,"ADRA1"
146,"ADRA1A"
146,"ADRA1R"
146,"ALPHA1"
146,"DAR"
146,"dJ779E11.2"
147,"ADRA1"
147,"ALPHA1BAR"
148,"ADRA1C"
148,"ADRA1L1"
148,"ALPHA1AAR"
150,"ADRA2"
150,"ADRA2R"
150,"ADRAR"
150,"ALPHA2AAR"
150,"FPLD8"
150,"ZNF32"
151,"ADRA2L1"
151,"ADRA2RL1"
151,"ADRARL1"
151,"ALPHA2BAR"
151,"FAME2"
151,"alpha-2BAR"
152,"ADRA2L2"
152,"ADRA2RL2"
152,"ADRARL2"
152,"ALPHA2CAR"
153,"ADRB1R"
153,"B1AR"
153,"BETA1AR"
153,"FNSS2"
153,"RHR"
154,"ADRB2R"
154,"ADRBR"
154,"ARB2"
154,"B2AR"
154,"BAR"
154,"BETA2AR"
155,"BETA3AR"
156,"ADRBK1"
156,"BARK1"
156,"BETA-ARK1"
157,"ADRBK2"
157,"BARK2"
158,"AMPS"
158,"ASASE"
158,"ASL"
159,"ADEH"
159,"ADSS"
159,"ADSS 2"
160,"ADTAA"
160,"AP2-ALPHA"
160,"CLAPA1"
161,"ADTAB"
161,"CLAPA2"
161,"HIP-9"
161,"HIP9"
161,"HYPJ"
162,"ADTB1"
162,"AP105A"
162,"BAM22"
162,"CLAPB2"
162,"KIDAR"
163,"ADTB2"
163,"AP105B"
163,"AP2-BETA"
163,"CLAPB1"
164,"ADTG"
164,"CLAPG1"
164,"USRISD"
165,"ACLP"
166,"AES"
166,"AES-1"
166,"AES-2"
166,"ESP1"
166,"GRG"
166,"GRG5"
166,"Grg-5"
167,"AEGL1"
167,"ARP"
167,"CRISP-1"
167,"HEL-S-57"
167,"HSCRISP1D"
167,"HSCRISP1G"
167,"HUMARP"
173,"ALB2"
173,"ALBA"
173,"ALF"
174,"AFPD"
174,"FETA"
174,"HPAFP"
175,"AGU"
175,"ASRG"
175,"GA"
176,"AGC1"
176,"AGCAN"
176,"CSPG1"
176,"CSPGCP"
176,"MSK16"
176,"SEDK"
176,"SSOAOD"
177,"RAGE"
177,"SCARJ1"
177,"sRAGE"
178,"GDE"
181,"AGRT"
181,"ART"
181,"ASIP2"
182,"AGS"
182,"AGS1"
182,"AHD"
182,"AWS"
182,"CD339"
182,"CMT2HH"
182,"DCHE"
182,"HJ1"
182,"JAGL1"
183,"ANHU"
183,"SERPINA8"
183,"hFLT1"
185,"AG2S"
185,"AGTR1B"
185,"AT1"
185,"AT1AR"
185,"AT1B"
185,"AT1BR"
185,"AT1R"
185,"AT2R1"
185,"ATR1"
185,"HAT1R"
186,"AT2"
186,"ATGR2"
186,"MRX88"
187,"AGTRL1"
187,"APJ"
187,"APJR"
187,"HG11"
189,"AGT"
189,"AGT1"
189,"AGXT1"
189,"PH1"
189,"SPAT"
189,"SPT"
189,"Ser-PyrAT"
189,"TLH6"
190,"AHC"
190,"AHCH"
190,"AHX"
190,"DAX-1"
190,"DAX1"
190,"DSS"
190,"GTD"
190,"HHG"
190,"NROB1"
190,"SRXY2"
191,"SAHH"
191,"adoHcyase"
196,"RP85"
196,"bHLHe76"
197,"A2HS"
197,"AHS"
197,"APMR1"
197,"FETUA"
197,"HSGA"
199,"AIF-1"
199,"IBA1"
199,"IRT-1"
199,"IRT1"
202,"AIM1"
202,"ST4"
203,"HTL-S-58j"
204,"ADK2"
205,"AK 4"
205,"AK3"
205,"AK3L1"
205,"AK3L2"
207,"AKT"
207,"PKB"
207,"PKB-ALPHA"
207,"PRKBA"
207,"RAC"
207,"RAC-ALPHA"
208,"HIHGHH"
208,"PKBB"
208,"PKBBETA"
208,"PRKBB"
208,"RAC-BETA"
210,"ALADH"
210,"PBGS"
211,"ALAS"
211,"ALAS-H"
211,"ALAS3"
211,"ALASH"
211,"MIG4"
212,"ALAS-E"
212,"ALASE"
212,"ANH1"
212,"ASB"
212,"SIDBA1"
212,"XLDPP"
212,"XLEPP"
212,"XLSA"
213,"FDAHT"
213,"HSA"
213,"PRO0883"
213,"PRO0903"
213,"PRO1341"
214,"CD166"
214,"MEMD"
215,"ABC42"
215,"ALD"
215,"ALDP"
215,"AMN"
216,"ALDC"
216,"ALDH-E1"
216,"ALDH1"
216,"ALDH11"
216,"HEL-9"
216,"HEL-S-53e"
216,"HEL12"
216,"PUMB1"
216,"RALDH1"
217,"ALDH-E2"
217,"ALDHI"
217,"ALDM"
218,"ALDH3"
218,"ALDHIII"
219,"ALDH5"
219,"ALDHX"
220,"ALDH1A6"
220,"ALDH6"
220,"MCOP8"
220,"RALDH3"
221,"ALDH4"
221,"ALDH7"
222,"ALDH8"
223,"ALDH4"
223,"ALDH7"
223,"ALDH9"
223,"E3"
223,"TMABA-DH"
223,"TMABADH"
223,"TMABALDH"
224,"ALDH10"
224,"FALDH"
224,"SLS"
225,"ABC39"
225,"ALDL1"
225,"ALDR"
225,"ALDRP"
225,"hALDR"
226,"ALDA"
226,"GSD12"
226,"HEL-S-87p"
229,"ALDB"
229,"ALDO2"
230,"ALDC"
231,"ADR"
231,"ALDR1"
231,"ALR2"
231,"AR"
238,"ALK1"
238,"CD246"
238,"NBLST3"
239,"12-LOX"
239,"12S-LOX"
239,"LOG12"
240,"5-LO"
240,"5-LOX"
240,"5LPG"
240,"LOG5"
241,"FLAP"
242,"12R-LOX"
242,"ARCI2"
246,"12-LOX"
246,"15-LOX"
246,"15-LOX-1"
246,"LOG15"
247,"15-LOX-2"
248,"IAP"
249,"AP-TNAP"
249,"APTNAP"
249,"HOPS"
249,"HPPA"
249,"HPPC"
249,"HPPI"
249,"HPPO"
249,"TNALP"
249,"TNAP"
249,"TNS-ALP"
249,"TNSALP"
250,"ALP"
250,"ALPI"
250,"IAP"
250,"PALP"
250,"PLAP"
250,"PLAP-1"
251,"ALPPL"
251,"ALPPL2"
251,"GCAP"
257,"FND"
257,"FND1"
