Ligand_Extracellular_NPY	PRLHR
Ligand_Extracellular_LHB	GNAS
Ligand_Extracellular_PTHLH	PRLHR
Ligand_Extracellular_MMP2	MMP14
Ligand_Extracellular_TIMP2	MMP14
Ligand_Extracellular_EDN3	EDNRB
Ligand_Extracellular_EDN1	EDNRB
Ligand_Extracellular_TSHB	TSHR
Ligand_Extracellular_CGA	TSHR
Ligand_Extracellular_GPHA2	TSHR
Ligand_Extracellular_DKK1	KREMEN2
Ligand_Extracellular_WNT5A	FZD2
Ligand_Extracellular_WNT4	FZD2
Ligand_Extracellular_SPP1	CD44
Ligand_Extracellular_MMP7	CD44
Ligand_Extracellular_MMP9	CD44
Ligand_Surface_HAS2	CD44
Ligand_Surface_NLGN3	NRXN2
