Kidney_Tier_III	MYO10
Kidney_Tier_III	ASTN2
Kidney_Tier_II	ST14
Kidney_Tier_I	DUSP15
Kidney_Tier_I	CNTNAP5
Kidney_Tier_I	CLDN8
Kidney_Tier_II	KIT
Kidney_Tier_III	SLC29A4
Kidney_Tier_II	OXGR1
Kidney_Tier_III	LRRN2
Kidney_Tier_I	BSG
Kidney_Tier_I	GPRC6A
Kidney_Tier_III	SLC16A11
Kidney_Tier_III	UGT8
Kidney_Tier_I	MUC20
Kidney_Tier_II	BACE2
Kidney_Tier_I	CLCNKB
Kidney_Tier_III	CA12
Kidney_Tier_II	LRP2
Kidney_Tier_I	SEMA5B
Kidney_Tier_III	TREM2
Kidney_Tier_II	GGT1
Kidney_Tier_III	FLT1
Kidney_Tier_I	MET
Kidney_Tier_III	TSPAN12
Kidney_Tier_II	CA9
Kidney_Tier_III	CUBN
Kidney_Tier_II	SLC22A2
Kidney_Tier_I	HAVCR1
Kidney_Tier_III	CDH6
Kidney_Tier_III	KISS1R
Kidney_Tier_I	SLC17A3
Kidney_Tier_I	CD70
Kidney_Tier_I	SLC3A1
Kidney_Tier_I	SLC6A3
Kidney_Tier_II	ATP1B1
Kidney_Tier_II	TMEM27
Kidney_Tier_II	SLC5A10
Kidney_Tier_II	THY1
Kidney_Tier_III	TGFA
Kidney_Tier_II	CLDN2
Kidney_Tier_III	SLC16A4
Kidney_Tier_III	NETO2
Kidney_Tier_III	TMEM37
Kidney_Tier_I	QRFPR
Kidney_Tier_II	CD24
Kidney_Tier_II	ITGA3
Kidney_Tier_I	TNFRSF12A
Kidney_Tier_II	LRP2
Kidney_Tier_III	TREM2
Kidney_Tier_II	GGT1
Kidney_Tier_I	MET
Kidney_Tier_II	SLC22A2
Kidney_Tier_I	HAVCR1
Kidney_Tier_II	CDH6
Kidney_Tier_II	TSPAN1
Kidney_Tier_III	FLRT3
Kidney_Tier_II	LRRN4
Kidney_Tier_I	SLC3A1
Kidney_Tier_III	SLC44A3
Kidney_Tier_II	TMEM27
Kidney_Tier_III	KCNJ16
Kidney_Tier_II	CLDN3
Kidney_Tier_II	CLDN2
Kidney_Tier_III	SLC16A4
Kidney_Tier_I	QRFPR
Kidney_Tier_III	AGRN
Kidney_Tier_II	CLDN4
Kidney_Tier_II	NEU1
Kidney_Tier_II	CD24
Bone_Marrow_Tier_III	CD38
Bone_Marrow_Tier_I	SLC22A16
Bone_Marrow_Tier_II	ITGAL
Bone_Marrow_Tier_III	LY75
Bone_Marrow_Tier_III	TSPAN32
Bone_Marrow_Tier_III	CD84
Bone_Marrow_Tier_III	HMMR
Bone_Marrow_Tier_I	CTSG
Bone_Marrow_Tier_II	ATP8B4
Bone_Marrow_Tier_III	CD33
Bone_Marrow_Tier_III	PIK3CG
Bone_Marrow_Tier_III	CD69
Bone_Marrow_Tier_III	RHAG
Bone_Marrow_Tier_I	ITGA4
Bone_Marrow_Tier_I	MPL
Bone_Marrow_Tier_I	FLT3
Bone_Marrow_Tier_II	NCKAP1L
Bone_Marrow_Tier_I	IGLL1
Bone_Marrow_Tier_III	NUP210
Bone_Marrow_Tier_II	TEC
Bone_Marrow_Tier_III	PIK3AP1
Bone_Marrow_Tier_III	SLC15A2
Bone_Marrow_Tier_III	PLD4
Bone_Marrow_Tier_II	LAIR1
Bone_Marrow_Tier_II	GYPA
Bone_Marrow_Tier_II	EMB
Bone_Marrow_Tier_III	CLEC12A
Bone_Marrow_Tier_II	RXFP4
Bone_Marrow_Tier_III	NRROS
Bone_Marrow_Tier_III	UMODL1
Bone_Marrow_Tier_III	P2RY8
Bone_Marrow_Tier_I	SPNS3
Bone_Marrow_Tier_III	TMEM106A
Bone_Marrow_Tier_II	POMK
Bone_Marrow_Tier_I	SPN
Bone_Marrow_Tier_I	RSC1A1
Bone_Marrow_Tier_I	TAS2R46
Bone_Marrow_Tier_I	TAS2R43
Bone_Marrow_Tier_I	TAS2R30
Bone_Marrow_Tier_II	TRBV12-3
Brain_Tier_II	GABRA3
Brain_Tier_III	CNTN1
Brain_Tier_II	CDH10
Brain_Tier_II	GPM6B
Brain_Tier_II	CACNG4
Brain_Tier_III	ADCY2
Brain_Tier_I	ADCYAP1R1
Brain_Tier_II	SLC1A3
Brain_Tier_I	DLL3
Brain_Tier_II	NRCAM
Brain_Tier_III	TREM2
Brain_Tier_I	MLC1
Brain_Tier_II	CDH20
Brain_Tier_II	CADM4
Brain_Tier_I	PTPRZ1
Brain_Tier_II	NRXN2
Brain_Tier_I	CSPG5
Brain_Tier_II	PLP1
Brain_Tier_III	GRIA3
Brain_Tier_II	ATP1B2
Brain_Tier_III	DPP6
Brain_Tier_III	SYT6
Brain_Tier_II	CRB1
Brain_Tier_III	GPR17
Brain_Tier_II	LRIG1
Brain_Tier_III	MYO10
Brain_Tier_II	NTRK2
Brain_Tier_I	RP11-35N6.1
Brain_Tier_III	ASTN2
Brain_Tier_II	RGR
Brain_Tier_II	NCAM1
Brain_Tier_III	GRIK4
Brain_Tier_I	PCDH15
Brain_Tier_III	ADGRL3
Brain_Tier_III	LYPD1
Brain_Tier_I	GPM6A
Brain_Tier_II	GRID2
Brain_Tier_II	GRIA4
Brain_Tier_II	THY1
Brain_Tier_II	ADCY8
Brain_Tier_II	MMP16
Brain_Tier_III	MEGF11
Brain_Tier_II	SDC3
Brain_Tier_II	CSMD3
Brain_Tier_II	HEPACAM
Brain_Tier_II	GPRC5B
Brain_Tier_II	TTYH1
Brain_Tier_II	P2RY12
Brain_Tier_III	NLGN1
Brain_Tier_III	LINGO1
Brain_Tier_II	GPR37L1
Brain_Tier_I	AQP4
Brain_Tier_III	UGT8
Brain_Tier_II	LRRN1
Brain_Tier_II	ZDHHC22
Brain_Tier_II	KCNJ10
Brain_Tier_III	PCDHB9
Brain_Tier_II	SLITRK1
Brain_Tier_I	LRRC55
Brain_Tier_III	KCND2
Brain_Tier_III	LSAMP
Brain_Tier_II	MAPT
Brain_Tier_II	DNER
Brain_Tier_III	NLGN3
Brain_Tier_II	ADGRA1
Brain_Tier_II	DDR1
Brain_Tier_II	PTCHD2
Brain_Tier_I	PCDHGC3
Brain_Tier_II	MARCKS
Liver_Tier_III	HSD17B2
Liver_Tier_II	SLCO1B1
Liver_Tier_I	TM4SF5
Liver_Tier_III	GPC3
Liver_Tier_II	SLC22A9
Liver_Tier_II	GJB1
Liver_Tier_I	TM4SF4
Liver_Tier_II	ENPP7
Liver_Tier_III	TMPRSS6
Liver_Tier_I	OR2I1P
Lung_Tier_III	GPRC5A
Lung_Tier_I	CEACAM6
Lung_Tier_II	MSLN
Lung_Tier_II	CEACAM5
Lung_Tier_III	MET
Lung_Tier_III	ITGB6
Lung_Tier_II	EPCAM
Lung_Tier_III	SMPDL3B
Lung_Tier_III	MAL2
Lung_Tier_I	SLC34A2
Lung_Tier_II	MUC1
Lung_Tier_II	CLDN4
Lung_Tier_III	DSG2
Lung_Tier_III	CDH3
Lung_Tier_III	PVRL1
Lung_Tier_II	SDC1
Lung_Tier_II	GPNMB
Lung_Tier_III	SLAMF9
Pleura_Tier_III	TREM2
Pleura_Tier_III	SLC7A4
Pleura_Tier_II	BDKRB1
Pleura_Tier_III	PROCR
Pleura_Tier_I	MSLN
Pleura_Tier_I	HAS1
Pleura_Tier_III	MET
Pleura_Tier_II	UPK1B
Pleura_Tier_I	LRRN4
Pleura_Tier_III	MMP24
Pleura_Tier_II	SULF1
Pleura_Tier_III	SLC39A8
Pleura_Tier_I	CRB2
Pleura_Tier_III	MFI2
Pleura_Tier_I	TM4SF1
Pleura_Tier_I	ITLN1
Pleura_Tier_III	SLC12A8
Ovary_Tier_I	PRSS21
Ovary_Tier_I	MSLN
Ovary_Tier_I	FOLR1
Ovary_Tier_II	CLDN16
Ovary_Tier_III	VTCN1
Ovary_Tier_III	MAL2
Ovary_Tier_II	SLC39A4
Ovary_Tier_II	LYPD1
Ovary_Tier_II	LY6E
Ovary_Tier_I	CLDN3
Ovary_Tier_III	LRRN2
Ovary_Tier_III	LPAR3
Ovary_Tier_I	MUC16
Ovary_Tier_I	CLDN6
Ovary_Tier_II	BCAM
Ovary_Tier_II	CLDN4
Pancreas_Tier_III	GPRC5A
Pancreas_Tier_III	DSG2
Pancreas_Tier_I	CEACAM6
Pancreas_Tier_III	PLEK2
Pancreas_Tier_I	MSLN
Pancreas_Tier_II	CEACAM5
Pancreas_Tier_III	ITGB6
Pancreas_Tier_II	TSPAN1
Pancreas_Tier_III	SULF1
Pancreas_Tier_III	ST14
Pancreas_Tier_I	TM4SF4
Pancreas_Tier_III	B3GNT3
Pancreas_Tier_II	CLDN4
Pancreas_Tier_III	SLC44A4
Adrenal_Gland_Tier_III	CNTN1
Adrenal_Gland_Tier_III	INSRR
Adrenal_Gland_Tier_I	SLC18A1
Adrenal_Gland_Tier_I	PTPRN
Adrenal_Gland_Tier_II	EPHA8
Adrenal_Gland_Tier_II	KCNQ2
Adrenal_Gland_Tier_I	CHRNA3
Adrenal_Gland_Tier_II	GNAS
Adrenal_Gland_Tier_III	NRCAM
Adrenal_Gland_Tier_III	SLC7A4
Adrenal_Gland_Tier_I	SLC6A2
Adrenal_Gland_Tier_II	APLP1
Adrenal_Gland_Tier_I	ATP1A3
Adrenal_Gland_Tier_II	UNC5B
Adrenal_Gland_Tier_II	UNC5A
Adrenal_Gland_Tier_III	PODXL2
Adrenal_Gland_Tier_I	CHRNB4
Adrenal_Gland_Tier_II	PRLHR
Adrenal_Gland_Tier_II	IL13RA2
Adrenal_Gland_Tier_II	FLRT1
Adrenal_Gland_Tier_III	DPP6
Adrenal_Gland_Tier_II	SYT4
Adrenal_Gland_Tier_I	FAIM2
Adrenal_Gland_Tier_III	STRA6
Adrenal_Gland_Tier_I	KCNH5
Adrenal_Gland_Tier_III	DISP2
Adrenal_Gland_Tier_II	ATP1B1
Adrenal_Gland_Tier_II	SLC10A4
Adrenal_Gland_Tier_III	ASTN2
Adrenal_Gland_Tier_II	DRD2
Adrenal_Gland_Tier_III	PTPRN2
Adrenal_Gland_Tier_III	SLC29A4
Adrenal_Gland_Tier_I	SLC18A2
