PMID35121907_TableS36_DrugDevelopment_Discovery_Precedence	gene
DrugDevelopmentLevel_Discovery_Precedence	RAB5C
DrugDevelopmentLevel_Discovery_Precedence	GP9
DrugDevelopmentLevel_Discovery_Precedence	NLGN4X
DrugDevelopmentLevel_Discovery_Precedence	PCDH1
DrugDevelopmentLevel_Discovery_Precedence	TULP1
DrugDevelopmentLevel_Discovery_Precedence	TAS2R31
DrugDevelopmentLevel_Discovery_Precedence	GAD2
DrugDevelopmentLevel_Discovery_Precedence	PI4K2A
DrugDevelopmentLevel_Discovery_Precedence	KCNJ6
DrugDevelopmentLevel_Discovery_Precedence	TAPBPL
DrugDevelopmentLevel_Discovery_Precedence	CEACAM8
DrugDevelopmentLevel_Discovery_Precedence	GRM7
DrugDevelopmentLevel_Discovery_Precedence	SV2C
DrugDevelopmentLevel_Discovery_Precedence	SIGLEC5
DrugDevelopmentLevel_Discovery_Precedence	ASAH2
DrugDevelopmentLevel_Discovery_Precedence	GRM6
DrugDevelopmentLevel_Discovery_Precedence	CLEC4C
DrugDevelopmentLevel_Discovery_Precedence	AQP10
DrugDevelopmentLevel_Discovery_Precedence	KCNK4
DrugDevelopmentLevel_Discovery_Precedence	PILRB
DrugDevelopmentLevel_Discovery_Precedence	ZDHHC20
