PMID35121907_TableS32_ImmAssoMolecules	gene
Immunologically_Associated_Molecules_Cadherin	CLSTN1
Immunologically_Associated_Molecules_Cadherin	PCDHB1
Immunologically_Associated_Molecules_Complement_receptor	C3AR1
Immunologically_Associated_Molecules_C-X-C_motif_chemokine_Receptor	CXCR6
Immunologically_Associated_Molecules_T_cell_co-stimulatorCTLDs_V_NK_receptor	CLEC7A
Immunologically_Associated_Molecules_IgSF_CAM	NEGR1
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC12A
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	OLR1
Immunologically_Associated_Molecules_IgSF_CAM	PTPRM
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF10D
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF10C
Immunologically_Associated_Molecules_X-C_motif_chemokine_Receptor	XCR1
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR9
Immunologically_Associated_Molecules_IgSF_CAM	LRFN4
Immunologically_Associated_Molecules_Mucin	MUC13
Immunologically_Associated_Molecules_T_cell_co-stimulator	CD7
Immunologically_Associated_Molecules_Toll_like_receptor	TLR10
Immunologically_Associated_Molecules_Toll_like_receptor	TLR1
Immunologically_Associated_Molecules_Toll_like_receptor	TLR6
Immunologically_Associated_Molecules_SelectinCTLDs_IV_Selectin	SELP
Immunologically_Associated_Molecules_IL-10_receptor_family	IL20RB
Immunologically_Associated_Molecules_CTLDs_XIV_Endosialin_family	CD248
Immunologically_Associated_Molecules_Cadherin	DSG4
Immunologically_Associated_Molecules_IgSF_CAM	CADM2
Immunologically_Associated_Molecules_CTLDs_XIV_Endosialin_family	CLEC14A
Immunologically_Associated_Molecules_Mucin	MUC20
Immunologically_Associated_Molecules_IgSF_CAM	DSCAML1
Immunologically_Associated_Molecules_B_cell_co-stimulator	CD19
Immunologically_Associated_Molecules_Scavenger_receptor	CD163
Immunologically_Associated_Molecules_IL-17_receptor_family	IL17RA
Immunologically_Associated_Molecules_Scavenger_receptor	CD163L1
Immunologically_Associated_Molecules_Tetraspanin	CD151
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-inhibitor	PVRL3
Immunologically_Associated_Molecules_Cadherin	PCDHB9
Immunologically_Associated_Molecules_IgSF_CAMT_cell_co-stimulator	CD28
Immunologically_Associated_Molecules_CTLDs_XIV_Endosialin_family	THBD
Immunologically_Associated_Molecules_IgSF_CAM	SIGLECL1
Immunologically_Associated_Molecules_Cadherin	CDH4
Immunologically_Associated_Molecules_Fc_Receptor	FCER1A
Immunologically_Associated_Molecules_Cadherin	CDH5
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR8
Immunologically_Associated_Molecules_C-X-C_motif_chemokine_Receptor	CXCR2
Immunologically_Associated_Molecules_Fc_Receptor	FCRL6
Immunologically_Associated_Molecules_Mucin	MUC16
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	TNFSF15
Immunologically_Associated_Molecules_T_cell_co-inhibitor	TIGIT
Immunologically_Associated_Molecules_IgSF_CAM	IZUMO1
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4G
Immunologically_Associated_Molecules_Tetraspanin	TSPAN10
Immunologically_Associated_Molecules_IgSF_CAM	NTM
Immunologically_Associated_Molecules_IgSF_CAM	CADM1
Immunologically_Associated_Molecules_IgSF_CAM	IGSF5
Immunologically_Associated_Molecules_NK_cell_co-inhibitorCTLDs_V_NK_receptor	KLRC4
Immunologically_Associated_Molecules_IgSF_CAM	IZUMO1R
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR3
Immunologically_Associated_Molecules_IgSF_CAM	OPCML
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR4
Immunologically_Associated_Molecules_IgSF_CAM	CNTN2
Immunologically_Associated_Molecules_Cadherin	PCDH9
Immunologically_Associated_Molecules_T_cell_co-stimulatorCTLDs_V_NK_receptor	CLECL1
Immunologically_Associated_Molecules_Other	CSF1
Immunologically_Associated_Molecules_C-C_motif_chemokine_Receptor	CCR10
Immunologically_Associated_Molecules_IgSF_CAM	ROBO2
Immunologically_Associated_Molecules_Immunoglobulin-like_family_of_IL-1_receptors	SIGIRR
Immunologically_Associated_Molecules_IL-3_receptor_family	IL3RA
Immunologically_Associated_Molecules_IL-10_receptor_family	IFNLR1
Immunologically_Associated_Molecules_Mucin	MUC1
Immunologically_Associated_Molecules_IgSF_CAM	LSAMP
Immunologically_Associated_Molecules_T_cell_co-inhibitor	CD300LF
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTLA
Immunologically_Associated_Molecules_Fc_Receptor	FCAR
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTN3A2
Immunologically_Associated_Molecules_C-X-C_motif_chemokine_Receptor	CXCR3
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LILRB4
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	TNFRSF4
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	TNFRSF18
Immunologically_Associated_Molecules_IgSF_CAM	BCAM
Immunologically_Associated_Molecules_Prolactin_receptor_family	EPOR
Immunologically_Associated_Molecules_Cadherin	PCDHB13
Immunologically_Associated_Molecules_Cadherin	CDHR4
Immunologically_Associated_Molecules_Toll_like_receptor	TLR5
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC17A
Immunologically_Associated_Molecules_NK_cell_co-stimulator	NCR3LG1
Immunologically_Associated_Molecules_T_cell_co-inhibitor	PDCD1
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC2A
Immunologically_Associated_Molecules_SelectinCTLDs_IV_Selectin	SELL
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	KLRG2
Immunologically_Associated_Molecules_NK_cell_co-inhibitor	KIR2DL4
Immunologically_Associated_Molecules_Cadherin	PCDH18
Immunologically_Associated_Molecules_NK_cell_co-stimulator	NCR1
Immunologically_Associated_Molecules_Cadherin	FAT4
Immunologically_Associated_Molecules_IgSF_CAM	CD47
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC15
Immunologically_Associated_Molecules_Complement_receptor	C5AR1
Immunologically_Associated_Molecules_Cadherin	DCHS2
Immunologically_Associated_Molecules_Cadherin	PCDHB11
Immunologically_Associated_Molecules_T_cell_co-stimulator	DPP4
Immunologically_Associated_Molecules_T_cell_co-inhibitor	PDCD1LG2
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC9A
Immunologically_Associated_Molecules_Fc_Receptor	FCGR1B
Immunologically_Associated_Molecules_IgSF_CAM	SIRPA
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC4C
Immunologically_Associated_Molecules_IL-3_receptor_family	CSF2RA
Immunologically_Associated_Molecules_IgSF_CAM	L1CAM
Immunologically_Associated_Molecules_Complement_receptor	CR1
Immunologically_Associated_Molecules_NK_cell_co-stimulator	RAET1G
Immunologically_Associated_Molecules_Fc_ReceptorNK_cell_co-stimulator	FCGR3A
Immunologically_Associated_Molecules_TGF-beta_receptor_family	BMPR2
Immunologically_Associated_Molecules_T_cell_co-inhibitor	BTNL2
Immunologically_Associated_Molecules_Scavenger_receptor	AGER
Immunologically_Associated_Molecules_T_cell_co-stimulator	CD300LD
Immunologically_Associated_Molecules_CTLDs_VIII_Type_1_receptor	LAYN
Immunologically_Associated_Molecules_NK_cell_co-stimulator/co-inhibitor	NCR3
Immunologically_Associated_Molecules_NK_cell_co-stimulator	MICB
Immunologically_Associated_Molecules_NK_cell_co-stimulator	MICA
Immunologically_Associated_Molecules_Mucin	MUC21
Immunologically_Associated_Molecules_T_cell_co-inhibitor	LILRB3
Immunologically_Associated_Molecules_Cadherin	PCDHGA1
Immunologically_Associated_Molecules_Cadherin	PCDHA9
Immunologically_Associated_Molecules_Cadherin	PCDHA8
Immunologically_Associated_Molecules_Cadherin	PCDHA7
Immunologically_Associated_Molecules_Cadherin	PCDHA5
Immunologically_Associated_Molecules_Cadherin	PCDHA4
Immunologically_Associated_Molecules_Cadherin	PCDHA2
Immunologically_Associated_Molecules_Cadherin	PCDHA1
Immunologically_Associated_Molecules_Mucin	MUC12
Immunologically_Associated_Molecules_IL-2_receptor_familyT_cell_co-stimulator	CRLF2
Immunologically_Associated_Molecules_NK_cell_co-stimulatorCTLDs_V_NK_receptor	KLRC2
Immunologically_Associated_Molecules_NK_cell_co-inhibitorCTLDs_V_NK_receptor	KLRC3
Immunologically_Associated_Molecules_CTLDs_II_Type_2_receptor	CLEC6A
Immunologically_Associated_Molecules_Atypical_chemokine_Receptor	ACKR1
Immunologically_Associated_Molecules_T_cell_co-inhibitor	PVRIG
Immunologically_Associated_Molecules_NK_cell_co-stimulatorCTLDs_V_NK_receptor	KLRK1
Immunologically_Associated_Molecules_Integrin	ITGA1
Immunologically_Associated_Molecules_Tetraspanin	TSPAN4
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamilyT_cell_co-stimulator	TNFRSF25
Immunologically_Associated_Molecules_NK_cell_co-stimulator	KIR2DS4
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	LTA
Immunologically_Associated_Molecules_TNFT_cell_co-stimulator	LTB
Immunologically_Associated_Molecules_Tetraspanin	TSPAN19
Immunologically_Associated_Molecules_TNF	TNF
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC2L
Immunologically_Associated_Molecules_Cadherin	PCDHA13
Immunologically_Associated_Molecules_TNF	TNFSF12
Immunologically_Associated_Molecules_Cadherin	PCDHGC3
Immunologically_Associated_Molecules_NK_cell_co-inhibitor	KIR3DL2
Immunologically_Associated_Molecules_Tumor_necrosis_factor_receptor_superfamily	TNFRSF13B
Immunologically_Associated_Molecules_Cadherin	PCDHGC5
Immunologically_Associated_Molecules_CTLDs_XII_CTLD/acidic_neck	CD302
Immunologically_Associated_Molecules_NK_cell_co-inhibitor	KIR3DL3
Immunologically_Associated_Molecules_Cadherin	PCDHGC4
Immunologically_Associated_Molecules_Cadherin	PCDHAC2
Immunologically_Associated_Molecules_IgSF_CAM	VSIG8
Immunologically_Associated_Molecules_IL-10_receptor_family	IL10RB
Immunologically_Associated_Molecules_NK_cell_co-inhibitor	KIR2DL3
Immunologically_Associated_Molecules_Scavenger_receptor	SCARF2
Immunologically_Associated_Molecules_Fc_Receptor	FCGR2C
Immunologically_Associated_Molecules_Cadherin	PCDHAC1
Immunologically_Associated_Molecules_Cadherin	PCDHA11
Immunologically_Associated_Molecules_Cadherin	PCDHA10
Immunologically_Associated_Molecules_Cadherin	PCDHA12
Immunologically_Associated_Molecules_Cadherin	PCDHGA12
Immunologically_Associated_Molecules_Cadherin	PCDHGB6
Immunologically_Associated_Molecules_Cadherin	PCDHGA5
Immunologically_Associated_Molecules_Cadherin	PCDHGA7
Immunologically_Associated_Molecules_Cadherin	PCDHGA6
Immunologically_Associated_Molecules_Cadherin	PCDHGA8
Immunologically_Associated_Molecules_Cadherin	PCDHGA10
Immunologically_Associated_Molecules_Cadherin	PCDHGA11
Immunologically_Associated_Molecules_Cadherin	PCDHGB2
Immunologically_Associated_Molecules_Cadherin	PCDHGB4
Immunologically_Associated_Molecules_Cadherin	PCDHGB7
Immunologically_Associated_Molecules_Cadherin	PCDHGB1
Immunologically_Associated_Molecules_Cadherin	PCDHGA3
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC14
Immunologically_Associated_Molecules_IgSF_CAM	SIGLEC12
Immunologically_Associated_Molecules_Cadherin	PCDHA3
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC12B
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	KLRAP1
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	KLRF2
Immunologically_Associated_Molecules_CTLDs_V_NK_receptor	CLEC5A
Immunologically_Associated_Molecules_Integrin	ITGB3
Immunologically_Associated_Molecules_CTLDs_VI_MMR_family	MRC1
Immunologically_Associated_Molecules_Mucin	MUC22
Immunologically_Associated_Molecules_IgSF_CAM	PECAM1
Immunologically_Associated_Molecules_Cadherin	PCDHGA9
Immunologically_Associated_Molecules_Cadherin	PCDHGB3
Immunologically_Associated_Molecules_Cadherin	PCDHGA4
Immunologically_Associated_Molecules_Cadherin	PCDHB16
Immunologically_Associated_Molecules_Cadherin	PCDHGB5
Immunologically_Associated_Molecules_CTLDs_X_Polycystin_family	PKD1L3
Immunologically_Associated_Molecules_Cadherin	PCDH20
