PMID35121907_TableS2_GESPGenes ,gene
Surfaceome,SORCS2
Surfaceome,EMP3
Surfaceome,KIAA0922
SurfaceomeNK cell co-inhibitorCTLDs V NK receptor,CLEC2D
SurfaceomeIgSF_CAMT cell co-inhibitor,SIGLEC9
Surfaceome,HLA-DPA1
Surfaceome,LMBRD2
SurfaceomeIgSF_CAM,FGFRL1
SurfaceomeIonChannel,TRPC3
SurfaceomeCadherin,CLSTN3
SurfaceomeEnzyme,ADCY6
Surfaceome,SUSD1
Surfaceome,ITFG1
Surfaceome,MEGF8
SurfaceomeComplement receptor,CR1
SurfaceomeGPCR,PTGER2
SurfaceomeGPCRCadherin,CELSR3
SurfaceomeGPCR,FZD1
SurfaceomeGPCR,S1PR5
SurfaceomeGPCR,GIPR
Surfaceome,SDK2
SurfaceomeGPCR,GPR132
Surfaceome,HLA-E
SurfaceomeGPCR,ADGRF1
SurfaceomeGPCR,ADGRE3
SurfaceomeImmunoglobulin-like family of IL-1 receptors,IL1R1
SurfaceomeKinase,ERBB4
Surfaceome,EMP1
SurfaceomeEnzyme,TFR2
SurfaceomeTransporter,SLC6A2
Surfaceome,CLDN3
SurfaceomeIL-6 receptor family,OSMR
Surfaceome,CLDN7
SurfaceomeIgSF_CAM,PVRL4
SurfaceomeTumor necrosis factor receptor superfamily,NGFR
SurfaceomeFc Receptor,FCRL3
Surfaceome,ZP3
SurfaceomeTetraspanin,TSPAN1
SurfaceomeTransporter,SLCO1B1
Surfaceome,LRP5
SurfaceomeIonChannel,KCNA3
SurfaceomeFc Receptor,FCRL5
SurfaceomeIonChannel,P2RX1
SurfaceomeLigand_CXCScavenger receptor,CXCL16
SurfaceomeFc Receptor,FCGR3B
Surfaceome,LYPD3
SurfaceomeKinaseTGF-beta receptor family,ACVR2A
SurfaceomeT cell co-inhibitor,BTLA
Surfaceome,FLRT1
SurfaceomeEnzyme,HPN
Surfaceome,ANO9
SurfaceomeIL-6 receptor family,IL27RA
Surfaceome,LRRN1
SurfaceomeFc Receptor,FCRL2
SurfaceomeTransporter,SLC22A11
Surfaceome,IGDCC4
Surfaceome,KIAA1919
SurfaceomeEnzyme,KIAA1161
SurfaceomeIL-10 receptor family,IFNLR1
SurfaceomeTransporter,SLC6A8
SurfaceomeTransporter,SLC22A16
SurfaceomeIL-12 receptor family,IL23R
SurfaceomeKinase,RYK
SurfaceomeCTLDs XIV Endosialin family,CLEC14A
Surfaceome,TXNDC15
Surfaceome,ATRAID
SurfaceomeCadherin,PCDHGB6
SurfaceomeScavenger receptor,STAB2
SurfaceomeIL-3 receptor family,IL5RA
SurfaceomeGPCR,KISS1R
Surfaceome,CD8B
SurfaceomeProlactin receptor family,CSF3R
SurfaceomeGPCR,LGR4
SurfaceomeGPCR,GRPR
SurfaceomeScavenger receptor,MARCO
SurfaceomeTransporter,SLCO1B3
SurfaceomeGPCR,ADGRL3
SurfaceomeIgSF_CAM,OPCML
SurfaceomeGPCR,CHRM3
SurfaceomeGPCR,GPR39
SurfaceomeGPCR,PTGIR
SurfaceomeIgSF_CAM,CNTN1
SurfaceomeIgSF_CAM,CADM2
SurfaceomeGPCR,HCAR2
SurfaceomeGPCR,GPR1
SurfaceomeGPCR,OXGR1
SurfaceomeGPCR,GPR37L1
SurfaceomeGPCR,GPR173
SurfaceomeNK cell co-stimulator,RAET1G
SurfaceomeGPCR,ADGRB3
SurfaceomeGPCR,SUCNR1
SurfaceomeGPCR,DRD5
SurfaceomeGPCR,TRHR
SurfaceomeGPCR,GLP2R
SurfaceomeGPCR,GPR63
SurfaceomeGPCR,MAS1L
SurfaceomeGPCR,GPR142
SurfaceomeGPCR,OR2C3
SurfaceomeEnzyme,GGT3P
SurfaceomeEnzyme,TMPRSS2
SurfaceomeTNFT cell co-stimulator,CD40LG
Surfaceome,AREG
Surfaceome,TFPI
Surfaceome,PIGR
SurfaceomeKinaseTGF-beta receptor family,BMPR1B
SurfaceomeKinase,NTRK3
SurfaceomeImmunoglobulin-like family of IL-1 receptors,IL1RL1
Surfaceome,AQP3
SurfaceomeTransporter,ABCB4
SurfaceomeEnzyme,BACE1
SurfaceomeIgSF_CAM,MAG
SurfaceomeTransporter,SLC26A3
Surfaceome,TENM1
Surfaceome,HHIP
Surfaceome,HBEGF
SurfaceomeFc Receptor,FCER1A
SurfaceomeEnzyme,PTPRR
Surfaceome,CLDN2
SurfaceomeIonChannel,PANX2
SurfaceomeCTLDs V NK receptor,KLRG1
Surfaceome,GP1BA
SurfaceomeScavenger receptor,AGER
SurfaceomeIonChannel,SCNN1G
SurfaceomeTransporter,SLC22A6
SurfaceomeTransporter,ABCB11
SurfaceomeIntegrin,ITGA10
SurfaceomeT cell co-inhibitor,TIGIT
SurfaceomeCTLDs II Type 2 receptor,ASGR1
Surfaceome,NPC1L1
Surfaceome,ANO7
SurfaceomeTransporter,SLC40A1
Surfaceome,VSTM4
Surfaceome,GJB4
Surfaceome,ANO5
Surfaceome,CLDN9
Surfaceome,AMIGO1
SurfaceomeEnzyme,NLGN3
SurfaceomeMucin,MUC17
SurfaceomeScavenger receptor,SCARA5
SurfaceomeTransporter,SLC23A1
SurfaceomeCadherin,PCDHB6
SurfaceomeEnzyme,SI
SurfaceomeCadherin,PCDHGC4
SurfaceomeIonChannel,KCNB2
Surfaceome,CORIN
SurfaceomeTransporter,SLC6A14
Surfaceome,ILDR1
SurfaceomeCadherin,PCDHB11
SurfaceomeIonChannel,SCN7A
Surfaceome,SLITRK2
SurfaceomeTransporter,SLC6A11
SurfaceomeIonChannel,CLCA4
SurfaceomeCadherin,CDH24
SurfaceomeIonChannel,KCNMB4
SurfaceomeTransporter,SLC22A23
Surfaceome,CLDN23
SurfaceomeTransporter,SLC6A15
Surfaceome,TMEM30B
SurfaceomeCadherin,PCDHB4
SurfaceomeCadherin,PCDHGB2
SurfaceomeScavenger receptor,CD163L1
Surfaceome,SEMA6C
Surfaceome,HEPH
SurfaceomeTransporter,SLC39A5
SurfaceomeTransporter,SLC38A4
SurfaceomeIonChannel,KCNC2
SurfaceomeCadherin,PCDHB12
Surfaceome,APCDD1
SurfaceomeTNFT cell co-stimulator,TNFSF18
Surfaceome,LRP11
SurfaceomeCadherin,PCDHGA2
SurfaceomeCadherin,CLSTN2
SurfaceomeTransporter,SLC26A9
SurfaceomeTransporter,SLC41A2
SurfaceomeCadherin,PCDHGA10
SurfaceomeCadherin,PCDHGA6
Surfaceome,TMEM131
SurfaceomeCadherin,PCDHGA11
SurfaceomeCadherin,PCDHGA7
SurfaceomeIonChannel,HTR3B
SurfaceomeCadherin,PCDH11X
Surfaceome,ZP4
SurfaceomeCadherin,PCDHA6
SurfaceomeTransporter,SLC41A3
SurfaceomeCadherin,PCDHGA3
SurfaceomeCadherin,PCDHGB3
SurfaceomeCadherin,PCDHGA5
SurfaceomeCadherin,PCDHA10
SurfaceomeCadherin,DSG3
Surfaceome,PRF1
SurfaceomeNK cell co-stimulator/co-inhibitor,NCR3
SurfaceomeIL-17 receptor family,IL17RD
Surfaceome,ROBO4
SurfaceomeKinase,EFNA1
Surfaceome,GFRA2
SurfaceomeEnzyme,PLA2G3
Surfaceome,APP
SurfaceomeTransporter,SLC2A3
Surfaceome,TFRC
SurfaceomeTransporter,ATP2B4
SurfaceomeEnzyme,ADAM17
SurfaceomeScavenger receptor,SCARB2
Surfaceome,MYH9
Surfaceome,GPC1
SurfaceomeEnzyme,MMP14
Surfaceome,PLP2
SurfaceomeCTLDs VI MMR family,LY75
Surfaceome,HLA-G
SurfaceomeIonChannel,KCNMA1
SurfaceomeEnzyme,PTPRA
Surfaceome,ANTXR2
Surfaceome,TMEM132A
SurfaceomeGPCR,HRH1
SurfaceomeGPCR,TACR1
SurfaceomeGPCR,GCGR
SurfaceomeGPCR,CNR2
SurfaceomeGPCR,CHRM2
SurfaceomeIonChannel,SCN9A
SurfaceomeEnzyme,SPINT2
SurfaceomeIonChannel,TRPV6
SurfaceomeTransporter,SLC6A4
Surfaceome,RHCG
SurfaceomeTransporter,SLC9A7
SurfaceomeTetraspanin,TSPAN3
SurfaceomeTetraspanin,TSPAN6
SurfaceomeIonChannel,GLRA1
SurfaceomeCadherin,DSC1
SurfaceomeGPCRC-C motif chemokine Receptor,CCR2
SurfaceomeGPCR,DRD4
SurfaceomeGPCR,FZD5
SurfaceomeGPCRC-C motif chemokine Receptor,CCR6
SurfaceomeEnzyme,PPAP2C
Surfaceome,CNNM2
SurfaceomeGPCR,GPRC5C
SurfaceomeIonChannel,PIEZO2
SurfaceomeGPCR,CHRM4
SurfaceomeCTLDs V NK receptor,CLEC2B
SurfaceomeGPCR,CCKAR
SurfaceomeCTLDs V NK receptor,CD69
SurfaceomeEnzyme,PTPRD
Surfaceome,LRRC32
Surfaceome,LRP8
SurfaceomeEnzyme,ALPL
SurfaceomeTransporter,ABCC8
Surfaceome,SV2A
SurfaceomeIonChannel,GRIN1
SurfaceomeTransporter,SLC38A5
SurfaceomeImmunoglobulin-like family of IL-1 receptors,IL18R1
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,LTBR
SurfaceomeIgSF_CAM,LRFN1
SurfaceomeTransporter,SLC39A8
SurfaceomeTransporter,SLC7A6
Surfaceome,GYPA
SurfaceomeIgSF_CAM,SIRPG
SurfaceomeIonChannel,CHRNB2
Surfaceome,CNTNAP1
SurfaceomeTetraspanin,TSPAN31
SurfaceomeTetraspanin,TSPAN13
Surfaceome,MXRA8
SurfaceomeIonChannel,CLCN6
Surfaceome,IGFLR1
Surfaceome,FKRP
SurfaceomeIonChannel,SCN2B
Surfaceome,ITM2C
SurfaceomeIonChannel,TMEM63A
SurfaceomeTetraspanin,TSPAN18
SurfaceomeT cell co-inhibitor,BTN3A2
Surfaceome,SIDT2
Surfaceome,AQP2
SurfaceomeIonChannel,GLRA3
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR2
SurfaceomeGPCR,OXTR
SurfaceomeGPCR,BDKRB1
Surfaceome,COL6A2
Surfaceome,GOLM1
SurfaceomeGPCRC-C motif chemokine Receptor,CCR1
SurfaceomeGPCR,HTR2A
SurfaceomeGPCR,AVPR1A
SurfaceomeGPCR,HTR2C
SurfaceomeGPCR,ADGRD1
SurfaceomeGPCR,GPR157
SurfaceomeGPCR,ADGRA2
Surfaceome,LILRA1
SurfaceomeGPCR,GPR176
SurfaceomeGPCRAtypical chemokine Receptor,CCRL2
SurfaceomeGPCR,GPR15
SurfaceomeGPCR,MTNR1B
SurfaceomeGPCR,ADGRA3
SurfaceomeGPCR,GPR55
SurfaceomeGPCR,TAS1R1
SurfaceomeGPCR,TAS1R2
SurfaceomeProlactin receptor family,MPL
SurfaceomeIonChannel,TRPM8
SurfaceomeT cell co-inhibitor,CTLA4
SurfaceomeEnzyme,NOX1
SurfaceomeEnzyme,RNF43
Surfaceome,CLDN1
SurfaceomeIL-2 receptor family,IL21R
SurfaceomeTransporter,SLC39A4
Surfaceome,JAG2
Surfaceome,PMEPA1
SurfaceomeEnzyme,ADAM8
SurfaceomeIonChannel,CHRNA4
Surfaceome,CLN3
Surfaceome,CLDN11
SurfaceomeIgSF_CAM,UNC5B
Surfaceome,TM4SF1
Surfaceome,UNC5C
SurfaceomeEnzyme,ATP6V0A4
SurfaceomeIonChannel,GRIK2
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF13B
Surfaceome,CRB1
SurfaceomeIonChannel,SCN4A
SurfaceomeTetraspanin,TSPAN2
SurfaceomeIonChannel,TRPV4
SurfaceomeKinaseTGF-beta receptor family,ACVRL1
SurfaceomeIL-12 receptor family,IL12RB1
SurfaceomeTransporter,SLC24A2
SurfaceomeTransporter,SLC16A2
Surfaceome,CLDN16
Surfaceome,SEMA5A
SurfaceomeTransporter,ATP2B2
SurfaceomeTransporter,SLC19A3
SurfaceomeTransporter,ABCA8
Surfaceome,LDLRAD3
SurfaceomeIonChannel,CACNG4
SurfaceomeIntegrin,ITGAE
Surfaceome,CD101
SurfaceomeIonChannel,KCNE3
SurfaceomeCadherin,FAT2
SurfaceomeEnzyme,ADCY7
SurfaceomeIonChannel,GABRB2
SurfaceomeIonChannel,GRIN2B
SurfaceomeFc Receptor,FCGR1B
Surfaceome,KIAA1324
SurfaceomeTransporter,SLC41A1
SurfaceomeTransporter,SLC16A10
Surfaceome,MIP
SurfaceomeCadherin,PCDHGA1
SurfaceomeIonChannel,SCN1B
Surfaceome,CACHD1
SurfaceomeEnzyme,DAGLA
SurfaceomeIgSF_CAM,LRRC4B
SurfaceomeTransporter,SLC8B1
Surfaceome,FAM174A
SurfaceomeIonChannel,LRRC38
Surfaceome,MEP1B
SurfaceomeGPCR,ADRB1
SurfaceomeGPCR,GPR35
SurfaceomeGPCRC-X-C motif chemokine Receptor,CXCR6
SurfaceomeGPCR,SSTR1
SurfaceomeGPCR,MCHR1
SurfaceomeGPCR,OR51E2
SurfaceomeGPCR,CASR
SurfaceomeGPCR,RXFP1
SurfaceomeGPCR,ADRA1D
SurfaceomeGPCR,GPBAR1
SurfaceomeIgSF_CAM,CNTN3
Surfaceome,OSCAR
SurfaceomeGPCR,BDKRB2
SurfaceomeGPCR,F2RL2
SurfaceomeGPCR,LPAR3
SurfaceomeGPCR,GPR160
SurfaceomeGPCR,LGR6
SurfaceomeGPCR,ADORA2B
SurfaceomeGPCRC-C motif chemokine Receptor,CCR10
SurfaceomeGPCRX-C motif chemokine Receptor,XCR1
SurfaceomeGPCR,GPR158
SurfaceomeGPCR,FFAR4
SurfaceomeGPCR,FZD9
SurfaceomeGPCR,GRM8
SurfaceomeGPCRC-C motif chemokine Receptor,CCR8
SurfaceomeGPCR,GPR20
SurfaceomeGPCR,GALR1
SurfaceomeGPCRComplement receptor,C3AR1
SurfaceomeGPCR,LHCGR
SurfaceomeGPCRC-C motif chemokine Receptor,CCR3
SurfaceomeGPCR,GPR27
SurfaceomeGPCR,HCAR3
SurfaceomeGPCR,ADRA1A
SurfaceomeGPCR,ADRB3
SurfaceomeGPCR,TAS1R3
SurfaceomeGPCR,AVPR1B
SurfaceomeT cell co-inhibitor,HHLA2
SurfaceomeGPCR,PROKR1
SurfaceomeGPCR,GPR25
SurfaceomeGPCR,NPFFR1
SurfaceomeGPCR,SSTR4
SurfaceomeGPCR,PROKR2
SurfaceomeGPCR,HTR6
SurfaceomeGPCR,HTR4
SurfaceomeGPCR,GRM7
SurfaceomeGPCR,GALR2
SurfaceomeGPCR,GALR3
SurfaceomeGPCR,GRM4
SurfaceomeGPCR,OR52N4
SurfaceomeGPCR,OR52K2
SurfaceomeGPCR,OR52E8
SurfaceomeGPCR,BRS3
SurfaceomeGPCR,OR51T1
SurfaceomeGPCR,OR56A3
SurfaceomeGPCR,OR56B4
SurfaceomeGPCR,GRM6
SurfaceomeGPCR,OR51A4
SurfaceomeGPCR,GPR101
SurfaceomeGPCR,OR11H4
SurfaceomeGPCR,OR51B4
SurfaceomeGPCR,OR52L1
SurfaceomeGPCR,HTR5A
SurfaceomeGPCR,OR51F2
SurfaceomeGPCR,OR56A5
SurfaceomeGPCR,OR51H1
SurfaceomeGPCR,OR51Q1
SurfaceomeGPCR,OR52E6
SurfaceomeGPCR,OR51M1
SurfaceomeGPCR,OR10H3
SurfaceomeGPCR,CHRM5
SurfaceomeGPCR,OR56A1
SurfaceomeGPCR,GPR149
SurfaceomeGPCR,OR6T1
SurfaceomeGPCR,OR51B6
SurfaceomeGPCR,OR51A7
SurfaceomeGPCR,OR52E2
SurfaceomeGPCR,OPN1MW
SurfaceomeGPCR,OR51A2
SurfaceomeGPCR,OR51S1
SurfaceomeGPCR,OR52M1
SurfaceomeGPCR,OR52A5
SurfaceomeGPCR,OR51D1
SurfaceomeGPCR,OR52I2
SurfaceomeGPCR,OR52I1
SurfaceomeGPCR,OR52A1
SurfaceomeGPCR,OR52N1
SurfaceomeGPCR,OR56A4
SurfaceomeGPCR,GPR151
SurfaceomeGPCR,OR51L1
SurfaceomeGPCR,OR52E4
SurfaceomeGPCR,OR51I1
SurfaceomeGPCR,OR52N2
SurfaceomeGPCR,OR5T3
SurfaceomeGPCR,OR52B6
SurfaceomeGPCR,OR52N5
SurfaceomeGPCR,OR52W1
SurfaceomeGPCR,OR13F1
SurfaceomeGPCR,OR52K1
Surfaceome,EGF
SurfaceomeEnzyme,FOLH1
SurfaceomeTransporter,ABCC11
SurfaceomeEnzyme,PTPRN
SurfaceomeEnzyme,SULF1
Surfaceome,LYVE1
SurfaceomeTransporter,SLC26A4
SurfaceomeToll like receptor,TLR5
SurfaceomeNK cell co-stimulator/co-inhibitorCTLDs V NK receptor,KLRB1
Surfaceome,DCSTAMP
SurfaceomeIonChannel,HTR3A
SurfaceomeTransporter,ABCA12
Surfaceome,CLDN5
SurfaceomeIonChannel,KCND2
Surfaceome,CALY
SurfaceomeEnzyme,ADCY1
SurfaceomeIonChannel,CACNA1H
Surfaceome,CNTNAP2
SurfaceomeIgSF_CAM,BOC
SurfaceomeIonChannel,GRIA4
SurfaceomeEnzyme,DUOX2
SurfaceomeIonChannel,CACNG8
SurfaceomeTransporter,SLC6A19
SurfaceomeIonChannel,GRIA1
SurfaceomeCTLDs V NK receptor,CLEC1A
Surfaceome,TM4SF4
SurfaceomeIL-12 receptor family,IL12RB2
Surfaceome,GJA5
Surfaceome,GPC5
Surfaceome,NRXN1
SurfaceomeIonChannel,GABRA3
SurfaceomeTransporter,SLC51A
SurfaceomeIonChannel,GABRD
Surfaceome,AJAP1
SurfaceomeEnzyme,DPP6
SurfaceomeIonChannel,KCNA2
SurfaceomeTransporter,SLCO5A1
SurfaceomeCadherin,PCDH8
SurfaceomeT cell co-stimulator,TMIGD2
SurfaceomeIonChannel,GRIK4
SurfaceomeTransporter,SLC10A2
Surfaceome,GJB5
Surfaceome,EFNB3
SurfaceomeIonChannel,GRIK1
Surfaceome,NRG2
SurfaceomeCTLDs V NK receptor,KLRF1
SurfaceomeIonChannel,KCNG3
SurfaceomeIonChannel,KCNS1
SurfaceomeIonChannel,KCNA5
SurfaceomeIonChannel,KCNC3
SurfaceomeTransporter,SLC16A5
Surfaceome,SLITRK3
SurfaceomeTransporter,SLC6A1
Surfaceome,SEMA6A
Surfaceome,KIAA0319
SurfaceomeIonChannel,KCNG1
SurfaceomeTransporter,SLC16A12
SurfaceomeTransporter,SLC28A3
Surfaceome,GJC2
SurfaceomeIonChannel,KCNC1
SurfaceomeIonChannel,CHRNA9
SurfaceomeKinase,GUCY2C
SurfaceomeTransporter,SLC36A4
SurfaceomeIonChannel,GABRG3
SurfaceomeIonChannel,KCNH6
SurfaceomeEnzyme,LPPR5
Surfaceome,TMEM25
SurfaceomeIonChannel,GABRP
SurfaceomeCadherin,CDHR3
SurfaceomeIonChannel,KCNK13
SurfaceomeTransporter,SLC28A1
SurfaceomeIonChannel,CHRNB1
SurfaceomeIonChannel,KCNK7
SurfaceomeEnzyme,ST3GAL5
SurfaceomeIgSF_CAM,IGSF11
SurfaceomeCadherin,CDH18
SurfaceomeImmunoglobulin-like family of IL-1 receptors,IL1RL2
SurfaceomeIonChannel,GABRE
Surfaceome,GJA4
SurfaceomeTransporter,SLC38A6
Surfaceome,CD164L2
SurfaceomeTransporter,SLC45A4
SurfaceomeEnzyme,PGAP1
Surfaceome,SEZ6
SurfaceomeTransporter,SLC44A5
SurfaceomeIonChannel,GLRB
Surfaceome,ESYT3
SurfaceomeIonChannel,KCNA1
Surfaceome,ERMAP
Surfaceome,CLDN15
SurfaceomeCadherin,PCDHGA4
Surfaceome,ECSCR
SurfaceomeIonChannel,KCNG4
SurfaceomeIonChannel,CHRNE
SurfaceomeIonChannel,KCNH5
Surfaceome,GINM1
Surfaceome,GJD2
SurfaceomeTransporter,SLC12A3
SurfaceomeIonChannel,GABRG1
Surfaceome,OPALIN
SurfaceomeIonChannel,ANO2
SurfaceomeIonChannel,GABRB1
SurfaceomeIonChannel,GRIN3A
SurfaceomeCTLDs V NK receptor,CLEC1B
Surfaceome,CEACAM8
SurfaceomeCadherin,CDH7
SurfaceomeIgSF_CAM,ICAM4
SurfaceomeIonChannel,GABRA4
SurfaceomeIonChannel,GLRA2
SurfaceomeTransporter,ATP4B
Surfaceome,CLDN20
Surfaceome,GJD3
SurfaceomeTransporter,SLCO6A1
SurfaceomeCadherin,PCDHA1
SurfaceomeIonChannel,GABRA6
SurfaceomeCadherin,PCDHA4
Surfaceome,CLDN17
SurfaceomeIonChannel,CHRNB3
SurfaceomeCadherin,CDH12
SurfaceomeT cell co-inhibitor,BTN1A1
SurfaceomeGPCR,OR52J3
Surfaceome,LY6G6F
Surfaceome,GPC3
SurfaceomeIgSF_CAM,CNTN2
SurfaceomeMucin,MUC20
Surfaceome,CUBN
Surfaceome,PKHD1
Surfaceome,MDGA1
Surfaceome,LILRA5
Surfaceome,PSCA
SurfaceomeEnzyme,ALPPL2
SurfaceomeEnzyme,SULF2
SurfaceomeEnzyme,TRABD2B
Surfaceome,ANGPT1
SurfaceomeEnzyme,ALPI
Surfaceome,TRAC
Surfaceome,VDAC1
SurfaceomeIonChannel,ITPR3
SurfaceomeEnzyme,TMX3
SurfaceomeEnzyme,ENO1
Surfaceome,HSPA8
SurfaceomeCTLDs X Polycystin family,PKD1
SurfaceomeTransporter,SLC5A6
SurfaceomeEnzyme,PLD3
SurfaceomeEnzyme,PON2
SurfaceomeGPCRComplement receptor,C5AR1
Surfaceome,ANXA1
Surfaceome,IGSF3
SurfaceomeGPCRC-C motif chemokine Receptor,CCR9
Surfaceome,IFITM3
SurfaceomeTransporter,SLC4A4
Surfaceome,VLDLR
SurfaceomeEnzyme,ADAM15
SurfaceomeTransporter,SLC17A5
Surfaceome,KIAA1549
Surfaceome,STX4
SurfaceomeTransporter,SLC52A2
SurfaceomeTransporter,SLC4A2
Surfaceome,DCBLD1
Surfaceome,EVI2B
Surfaceome,LMBRD1
Surfaceome,LSR
SurfaceomeTransporter,SLC38A2
Surfaceome,SERINC1
Surfaceome,CD320
SurfaceomeGPCR,PTH1R
Surfaceome,NCKAP1L
Surfaceome,MFGE8
SurfaceomeGPCR,P2RY1
SurfaceomeEnzyme,GDPD5
SurfaceomeGPCR,RHO
SurfaceomeGPCR,GPRC5B
SurfaceomeEnzyme,PLD4
Surfaceome,GPC4
Surfaceome,TGOLN2
SurfaceomeGPCRT cell co-inhibitor,ADORA2A
Surfaceome,GJB2
Surfaceome,ADIPOR2
SurfaceomeCTLDs XIV Endosialin family,CD248
Surfaceome,LRIG1
SurfaceomeEnzyme,TCIRG1
SurfaceomeIonChannel,TRPV3
SurfaceomeIgSF_CAM,CADM4
SurfaceomeCadherin,CLSTN1
Surfaceome,CHRNA7
SurfaceomeEnzyme,PIK3IP1
SurfaceomeTransporter,SLC15A4
Surfaceome,OSTM1
SurfaceomeEnzyme,SMPDL3B
Surfaceome,TM9SF1
Surfaceome,VAMP5
SurfaceomeIonChannel,P2RX3
SurfaceomeTransporter,ATP1A4
Surfaceome,NOTCH3
SurfaceomeIonChannel,CACNA1C
SurfaceomeGPCR,CNR1
SurfaceomeGPCR,CHRM1
SurfaceomeGPCR,OPRL1
SurfaceomeGPCR,GPR183
SurfaceomeIonChannel,CACNA2D1
SurfaceomeGPCR,HCRTR1
SurfaceomeGPCR,DRD3
SurfaceomeGPCR,OPRD1
SurfaceomeGPCR,GRM5
SurfaceomeGPCR,HCRTR2
Surfaceome,SDC1
SurfaceomeKinaseTGF-beta receptor family,BMPR1A
Surfaceome,CLDN6
SurfaceomeKinase,EPHA7
SurfaceomeEnzyme,FURIN
SurfaceomeEnzyme,PAM
SurfaceomeIonChannel,KCNK2
SurfaceomeIgSF_CAM,GPA33
SurfaceomeToll like receptor,TLR6
SurfaceomeTransporter,ABCA2
SurfaceomeTransporter,ATP10A
SurfaceomeCadherin,PCDH10
SurfaceomeIonChannel,SCNN1A
SurfaceomeTransporter,ATP1A2
Surfaceome,C1orf159
SurfaceomeCTLDs XIV Endosialin family,CD93
SurfaceomeTransporter,SLC22A4
SurfaceomeIonChannel,GABRA1
Surfaceome,TMEM87B
Surfaceome,SLITRK5
SurfaceomeCTLDs XII CTLD/acidic neck,CD302
Surfaceome,KIAA1324L
SurfaceomeIonChannel,KCNK6
Surfaceome,TMEM104
Surfaceome,KIAA1467
SurfaceomeTransporter,SLC9A6
Surfaceome,TMEM181
SurfaceomeIonChannel,KCNK4
Surfaceome,STRA6
SurfaceomeGPCR,ADGRL1
SurfaceomeGPCR,DRD1
SurfaceomeGPCR,CYSLTR2
Surfaceome,HLA-DQB2
SurfaceomeGPCR,GPR171
Surfaceome,IGHM
SurfaceomeGPCR,MTNR1A
SurfaceomeGPCR,NPY2R
Surfaceome,HLA-H
SurfaceomeGPCR,OR6C76
Surfaceome,PDPN
SurfaceomeTransporter,ABCC3
SurfaceomeEnzyme,HAS1
Surfaceome,NRG1
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF10D
Surfaceome,GJC1
SurfaceomeEnzyme,ATP7A
SurfaceomeT cell co-stimulator/co-inhibitor,SLAMF7
Surfaceome,LAMP3
Surfaceome,TMEM67
SurfaceomeTumor necrosis factor receptor superfamily,TNFRSF10C
SurfaceomeTransporter,SLC34A2
SurfaceomeCadherin,FAT4
SurfaceomeTransporter,ABCA5
Surfaceome,HFE2
Surfaceome,BTC
SurfaceomeIonChannel,KCNK3
Surfaceome,GPM6A
SurfaceomeNK cell co-stimulator,ULBP3
Surfaceome,TMEM8B
SurfaceomeTransporter,ABCG5
SurfaceomeTetraspanin,TSPAN5
Surfaceome,PLXDC1
Surfaceome,EMP2
Surfaceome,FAM189B
SurfaceomeT cell co-inhibitor,LILRB3
SurfaceomeTransporter,SLCO2B1
SurfaceomeTransporter,ATP4A
SurfaceomeCadherin,CDH23
SurfaceomeIonChannel,GRIN2A
SurfaceomeIonChannel,GRID2
Surfaceome,LAMP5
Surfaceome,MARVELD2
SurfaceomeTransporter,ATP8B4
SurfaceomeTransporter,SLC2A11
SurfaceomeCadherin,FAT3
Surfaceome,HLA-DQA2
SurfaceomeIonChannel,SLC26A1
SurfaceomeKinase,MUSK
Surfaceome,ZFYVE27
SurfaceomeCadherin,PCDHB2
Surfaceome,TMCO3
Surfaceome,LRRC25
SurfaceomeCTLDs II Type 2 receptor,CLEC17A
Surfaceome,IGSF1
SurfaceomeEnzyme,PIGN
Surfaceome,TM7SF3
SurfaceomeEnzyme,RNF13
SurfaceomeTransporter,SLC15A3
Surfaceome,PRRT3
SurfaceomeKinaseTGF-beta receptor family,ACVR1B
Surfaceome,MFSD8
Surfaceome,VSIG10
Surfaceome,LMBR1L
SurfaceomeTransporter,SLC2A8
SurfaceomeIonChannel,KCNE1
SurfaceomeIonChannel,KCNT1
SurfaceomeNK cell co-inhibitor,KIR3DL2
SurfaceomeIgSF_CAM,SIGLEC5
SurfaceomeCadherin,PCDH11Y
SurfaceomeGPCR,GPER1
SurfaceomeGPCR,MC1R
SurfaceomeGPCRC-X-3-C motif chemokine Receptor,CX3CR1
SurfaceomeGPCR,SSTR2
Surfaceome,ANK3
SurfaceomeGPCR,OR51E1
SurfaceomeGPCR,ADCYAP1R1
SurfaceomeGPCR,P2RY6
SurfaceomeGPCR,GRM3
SurfaceomeGPCR,GPR3
SurfaceomeGPCRAtypical chemokine Receptor,ACKR1
SurfaceomeEnzyme,SMPD1
SurfaceomeTNF,TNFSF12
SurfaceomeGPCR,GPR143
SurfaceomeEnzyme,NEU1
Surfaceome,RGMA
SurfaceomeGPCR,ADGRB1
SurfaceomeGPCR,GPR4
SurfaceomeGPCR,PTGFR
SurfaceomeGPCR,HRH3
SurfaceomeGPCR,GPR68
SurfaceomeGPCR,GPR17
SurfaceomeGPCR,FZD10
SurfaceomeGPCR,QRFPR
SurfaceomeGPCR,ADGRB2
