PMID35121907_TableS2_GESPGenes ,gene
SurfaceomeIgSF_CAM,JAM3
SurfaceomeIgSF_CAM,PECAM1
Surfaceome,PLXNA1
Surfaceome,SIRPB1
SurfaceomeTransporter,SLC44A2
SurfaceomeEnzyme,PTPRC
SurfaceomeGPCR,S1PR1
SurfaceomeGPCR,TBXA2R
SurfaceomeGPCR,ADGRG1
SurfaceomeEnzyme,MME
SurfaceomeToll like receptor,TLR2
SurfaceomeKinase,DDR2
Surfaceome,SORL1
SurfaceomeIgSF_CAM,CXADR
SurfaceomeIntegrin,ITGAL
SurfaceomeIonChannelT cell co-inhibitor,CYBB
Surfaceome,KIRREL
SurfaceomeTransporter,SLC29A1
SurfaceomeIntegrin,ITGA7
SurfaceomeIL-17 receptor family,IL17RA
Surfaceome,PLXND1
SurfaceomeGPCR,FZD4
SurfaceomeEnzyme,GGT5
SurfaceomeCadherin,FAT1
SurfaceomeScavenger receptor,CD36
SurfaceomeSelectinCTLDs IV Selectin,SELL
SurfaceomeEnzyme,ACE
SurfaceomeIonChannel,KCNH2
SurfaceomeIntegrinComplement receptor,ITGAM
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,TNFRSF8
SurfaceomeIonChannel,TRPC6
SurfaceomeCTLDs VI MMR family,MRC1
SurfaceomeEnzyme,STEAP4
SurfaceomeIgSF_CAM,NRCAM
SurfaceomeGPCR,P2RY8
SurfaceomeIgSF_CAM,LSAMP
SurfaceomeIgSF_CAM,NFASC
SurfaceomeInterferon receptor family,IFNAR1
SurfaceomeTransporter,SLC29A2
SurfaceomeTetraspanin,TSPAN4
Surfaceome,CD180
SurfaceomeIonChannel,P2RX4
SurfaceomeIgSF_CAMT cell co-inhibitor,PVRL3
SurfaceomeGPCR,F2RL1
SurfaceomeIL-2 receptor family,IL2RG
SurfaceomeIgSF_CAM,CD33
SurfaceomeIgSF_CAMT cell co-inhibitor,CD244
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator,CD27
SurfaceomeCadherin,DSC2
Surfaceome,TACSTD2
Surfaceome,CEACAM1
SurfaceomeTumor necrosis factor receptor superfamilyT cell co-stimulator/co-inhibitor,TNFRSF14
SurfaceomeKinase,ROR2
Surfaceome,MS4A1
SurfaceomeIntegrin,ITGB6
